oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
629103400010558,231145807,2460065.962835067,60065.4580787,17.335375,0.021440944,0,zg,217.5669005,23.062428,1.012,0.012,20230501458067,629,3,4,20.39,26.207787,0.036522616,-0.06106738,4.692527e-05,30.0,1.351,2
629103400010558,231329687,2460067.8015948986,60067.296875,17.471004,0.022716537,0,zg,217.5668989,23.0623791,0.876,0.004,20230503296470,629,3,4,19.75,26.383608,0.04350633,-0.12590705,0.00012272094,30.0,1.015,1
629103400010558,231345152,2460067.956244364,60067.4515278,17.08929,0.01953494,0,zg,217.5671358,23.062336,0.811,0.521,20230503451528,629,3,4,18.29,26.245,0.039065085,-0.0854085,0.00047219257,30.0,1.345,2
629103400010558,231837657,2460072.881170235,60072.3765741,17.53303,0.02336036,0,zg,217.5668891,23.0623689,1.712,0.053,20230508376447,629,3,4,20.34,26.412043,0.04134037,-0.11762105,6.468444e-05,30.0,1.091,2
629103400010558,231928811,2460073.792683856,60073.2881134,17.555458,0.023603126,0,zg,217.5668872,23.0623752,3.194,0.136,20230509288090,629,3,4,21.07,26.386475,0.040071104,-0.1326583,4.3290867e-05,30.0,1.011,2
629103400010558,231935050,2460073.8550779475,60073.3505093,17.593903,0.024031954,0,zg,217.5669038,23.0624077,2.201,0.107,20230509350266,629,3,4,20.77,26.3691,0.033576775,-0.121432714,3.2528245e-05,30.0,1.045,2
629103400010558,232239578,2460076.9002619516,60076.395787,17.533745,0.02336802,32768,zg,217.5668803,23.0623941,2.757,0.05,20230512395775,629,3,4,21.21,26.40037,0.03969208,-0.14720255,4.1027175e-05,30.0,1.187,1
629103400010558,232434267,2460078.847082669,60078.3426736,17.557383,0.023624204,32768,zg,217.5669287,23.0623292,3.577,0.059,20230514342627,629,3,4,21.53,26.403751,0.032894675,-0.15032445,2.772278e-05,30.0,1.054,1
629103400010558,232627814,2460080.782487059,60080.2781481,17.517292,0.023193229,0,zg,217.5668885,23.0624048,3.361,0.205,20230516278148,629,3,4,21.64,26.393513,0.028367931,-0.10537417,2.0491614e-05,30.0,1.008,1
629103400010558,232838440,2460082.8886672035,60082.3844097,17.505695,0.023071727,0,zg,217.5668894,23.0624247,3.736,0.245,20230518384375,629,3,4,21.43,26.257645,0.029282544,-0.08599878,2.1373404e-05,30.0,1.207,1
629103400010558,233033894,2460084.843124119,60084.3389468,17.52964,0.023324143,0,zg,217.5669289,23.0623893,4.295,0.17,20230520338947,629,3,4,21.69,26.313763,0.028563648,-0.117108434,2.092575e-05,30.0,1.08,1
629103400010558,233225230,2460086.756397762,60086.2523032,17.55798,0.023630757,0,zg,217.5669,23.0623712,4.788,0.208,20230522252292,629,3,4,21.81,26.369059,0.028378362,-0.12300866,2.0710057e-05,30.0,1.011,1
629103400010558,233432167,2460088.825678606,60088.3216782,17.617714,0.024305828,32768,zg,217.566904,23.0623585,4.01,0.134,20230524321632,629,3,4,21.71,26.41931,0.026984649,-0.14077684,1.8471741e-05,30.0,1.066,1
629103400010558,233629010,2460090.7940107295,60090.2901042,17.464516,0.02265146,0,zg,217.5669099,23.0623883,1.607,-0.002,20230526290104,629,3,4,20.97,26.371117,0.033540063,-0.11274356,2.9898116e-05,30.0,1.026,1
629103400010558,233832561,2460092.8294185135,60092.3256134,17.598463,0.024083918,0,zg,217.5668784,23.062354,2.954,0.126,20230528325613,629,3,4,21.23,26.396326,0.02987187,-0.124123774,2.3366329e-05,30.0,1.1,1
629103400010558,234420333,2460098.7068222207,60098.2033333,17.532831,0.023358243,0,zg,217.5669074,23.0623652,1.468,0.08,20230603203264,629,3,4,20.08,26.395924,0.038817342,-0.10604015,7.018145e-05,30.0,1.022,1
629103400010558,234618744,2460100.6908168313,60100.1874421,17.531788,0.023347087,0,zg,217.5669054,23.0623931,2.346,0.049,20230605187442,629,3,4,20.69,26.405916,0.041908905,-0.1303403,5.3298925e-05,30.0,1.033,1
